Ratio,Clean_Accuracy_Before,Clean_Accuracy_After,Adversarial_Accuracy_Before,Adversarial_Accuracy_After,Robustness_Gain,Robustness_Gap
20/80,0.964947987336047,0.9305744007236545,0.966078697421981,0.9301221166892809,-0.03595658073270014,0.00045228403437358455
30/70,0.964947987336047,0.927860696517413,0.966078697421981,0.9283129805517866,-0.03776571687019448,-0.00045228403437358455
40/60,0.964947987336047,0.9246947082767978,0.966078697421981,0.9262777023971054,-0.03980099502487566,-0.0015829941203076014
