Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Logistic Regression,0.9258254183627318,0.9306171843485276,0.9366626065773447,0.933630109267503,0.92477926316725,0.001954343606690112
Random Forest,0.9841700587969244,0.9853955375253549,0.9861956963053187,0.9857954545454546,0.983707412764675,0.002332390401584628
SVM (RBF),0.9622342831298055,0.9636510500807755,0.9687373122208689,0.9661874873456165,0.959953321646571,0.0017679181393331982
